Name                           Account Number                 Transaction Number             Merchant                       Transaction Amount             
Garufi Meaghan                 31452                          57                             TARGET                         200.21                         
Garufi Meaghan                 31452                          59                             OLD                            187.94                         
Garufi Meaghan                 31452                          61                             OLD                            182.35                         
Rulapaugh Kati                 31593                          2                              NORTH                          859.75                         
Perez Devora                   32307                          3                              WAL-MART                       30.28                          
Lindall Carmelina              32407                          3                              BP#2093359PATERSON             40.00                          
Munns Myra                     32489                          2                              INTUIT                         178.18                         
Dilliard Leota                 32628                          16                             IN                             1677.85                        
Stenseth Ernie                 32922                          7                              NORDSTROM                      257.05                         
Stenseth Ernie                 32922                          8                              URBAN                          250.00                         
Boord Annabelle                33168                          2                              SQC*<Cash                      4.75                           
Stem Lizette                   33452                          1                              TARGET                         91.89                          
Monica Abel                    33555                          10                             Best                           10000.00                       
Ahle Delmy                     33653                          5                              SQ                             450.00                         
Inouye Veronika                33717                          43                             MIDWESTERN                     3505.28                        
Inouye Veronika                33717                          97                             CINFIN-PERSONAL-INSUR          3785.00                        
Ruta Graciela                  33945                          7                              SHOPRITE                       94.24                          
Flosi Fletcher                 36717                          5                              H-E-B                          137.83                         
Flosi Fletcher                 36717                          12                             CENTRAL                        144.12                         
Flosi Fletcher                 36717                          13                             TST*                           132.41                         
Flosi Fletcher                 36717                          22                             BIG                            142.27                         
Flosi Fletcher                 36717                          25                             WAL-MART                       140.81                         
Flosi Fletcher                 36717                          47                             WM                             130.90                         
Ruth Green                     37222                          1                              SHELL                          1009.90                        
Maclead Abel                   37226                          7                              APPLE.COM/US                   269.04                         
Maclead Abel                   37226                          10                             NORDSTROM                      464.62                         
Maclead Abel                   37226                          14                             BEST                           270.11                         
Maclead Abel                   37226                          63                             8898                           303.00                         
Foller Donette                 37466                          79                             3200                           203.00                         
Foller Donette                 37466                          80                             WHOLEFDS                       94.34                          
Foller Donette                 37466                          117                            WHOLEFDS                       108.22                         
Foller Donette                 37466                          128                            TRADER                         101.50                         
Foller Donette                 37466                          133                            AMZN                           132.41                         
Foller Donette                 37466                          166                            ARGAUX                         188.00                         
Foller Donette                 37466                          168                            POSHMARK                       224.20                         
Ferencz Erick                  38206                          1                              WM                             37.89                          
Morasca Simona                 38829                          65                             CFA                            1009.90                        
Morasca Simona                 38829                          76                             230                            1266.56                        
Morasca Simona                 38829                          129                            230                            1263.27                        
Kitzman Chau                   39184                          1                              ETSY.COM                       38.92                          
Joseph Dark                    43991                          1                              CFA                            1009.90                        
Artie Venn                     44891                          10                             Best                           10000.00                       
Lenord Paps                    46762                          3                              Burger                         85.04                          
Don Fuller                     53111                          1                              CFA                            1009.90                        
Mirasca Sam                    53222                          1                              CFA                            1009.90                        
Tanner Mitchel                 54566                          4                              Starbucks		Chicago             100.73                         
Dilliard Smith                 54722                          1                              CFA                            1009.90                        
Anthony West                   54891                          1                              CFA                            1009.90                        
May Wilson                     54999                          1                              CFA                            1009.90                        
