last_name, first_name, street_address, unit, city, state, zip, dob, ssn, email_address,mobile_number,account_number
Albina,Glick,4 Ralph Ct,,Dunellen,NJ,8812,1/31/1993,798-85-9268,albina@glick.com,2017096245,17079
Alishia,Sergi,2742 Distribution Way,,New York,NY,10025,1/22/1942,981-71-5987,asergi@gmail.com,7329247882,26603
Solange,Shinko,426 Wolf St,,Metairie,LA,70002,2/28/1986,400-86-4353,solange@shinko.com,2128601579,20669
Jose,Stockham,128 Bransten Rd,,New York,NY,10011,8/4/1988,517-23-7218,jose@yahoo.com,5049799175,22965
Rozella,Ostrosky,17 Morena Blvd,,Camarillo,CA,93012,12/27/1973,942-80-9716,rozella.ostrosky@ostrosky.com,2126758570,24029
Valentine,Gillian,775 W 17th St,,San Antonio,TX,78204,9/30/1945,730-09-4476,valentine_gillian@gmail.com,8058326163,31488
Kati,Rulapaugh,6980 Dorsett Rd,,Abilene,KS,67410,8/5/1954,445-65-4320,kati.rulapaugh@hotmail.com,2108129597,31593
Youlanda,Schemmer,2881 Lewis Rd,,Prineville,OR,97754,3/27/1985,391-95-5844,youlanda@aol.com,7854637829,29042
Dyan,Oldroyd,7219 Woodfield Rd,,Overland Park,KS,66204,8/12/1982,354-61-8954,doldroyd@aol.com,5415488197,33013
Roxane,Campain,1048 Main St,,Fairbanks,AK,99708,4/26/1964,981-01-6885,roxane@hotmail.com,9134134604,17447
Lavera,Perin,678 3rd Ave,,Miami,FL,33196,10/13/1948,573-59-1846,lperin@perin.org,9072314722,30100
Erick,Ferencz,20 S Babcock St,,Fairbanks,AK,99712,8/12/1978,751-83-6541,erick.ferencz@aol.com,3056067291,38206
Fatima,Saylors,2 Lighthouse Ave,,Hopkins,MN,55343,9/14/1942,669-94-4317,fsaylors@saylors.org,9077411044,17561
Jina,Briddick,38938 Park Blvd,,Boston,MA,2128,1/17/1949,903-17-8397,jina_briddick@briddick.com,9527682416,32104
Kanisha,Waycott,5 Tomahawk Dr,,Los Angeles,CA,90006,6/30/1948,559-78-9126,kanisha_waycott@yahoo.com,6173995124,23777
Emerson,Bowley,762 S Main St,,Madison,WI,53711,5/18/1981,607-56-8700,emerson.bowley@bowley.org,3234532780,20565
Blair,Malet,209 Decker Dr,,Philadelphia,PA,19132,11/21/1988,952-98-9755,bmalet@yahoo.com,6083367444,32218
Venn,Artie,81 W Cerritos Ave ,#54,Bridgeport,NJ,8014,11/10/1947,793-96-4891,art@venere.org,8102929388,44891
Paps,Lenord,6391 Main St,,Anchorage,AK,99501,2/11/1986,581-28-6762,lenpaps@hotmail.com,8566368749,46762
Fuller,Don,345 Center St,,Hamilton,OH,45011,6/11/1939,375-46-3111,donniefuller.foller@cox.net,9073854412,53111
Sam,Mirasca,321 Mcauley Dr,,Ashland,OH,44805,1/12/1968,760-78-3222,smirasca@hotmail.com,5135701893,53222
Brock,Bolognia,4486 W O St,#1,New York,NY,10003,10/21/1963,619-36-4722,bbolognia@yahoo.com,2159079111,36620
Lorrie,Nestle,39 S 7th St,,Tullahoma,TN,37388,5/5/1980,996-30-7551,lnestle@hotmail.com,2124029216,32946
Sabra,Uyetake,98839 Hawthorne Blvd,#6101,Columbia,SC,29201,5/18/1961,577-26-5158,sabra@uyetake.org,9318756644,30483
Marjory,Mastella,71 San Mateo Ave,,Wayne,PA,19087,9/2/1969,232-44-8676,mmastella@mastella.com,8039255213,15971
Karl,Klonowski,76 Brooks St,#9,Flemington,NJ,8822,12/30/1955,879-61-5480,karl_klonowski@yahoo.com,6108145533,25770
Tonette,Wenner,4545 Courthouse Rd,,Westbury,NY,11590,12/23/1968,419-94-8007,twenner@aol.com,9088776135,25423
Amber,Monarrez,14288 Foster Ave,#4121,Jenkintown,PA,19046,10/18/1954,544-01-9522,amber_monarrez@monarrez.org,5169686051,36453
Mitchel,Tanner,17 Eads St,,Chicago,IL,60632,3/31/1985,726-64-4566,mtanner@yahoo.com,4195032484,54566
Smith,Dilliard,3 W Jackson Blvd,,San Jose,CA,95111,2/23/1979,873-25-4722,sdillard@hotmail.com,7735736914,54722
West,Anthony,2152 Boston Ave,#88,Sioux Falls,SD,57105,6/10/1975,965-59-4891,west_anthony@cox.net,4087523500,54891
Cris,Davis,132 Runamuck Pl,#2808,Baltimore,MD,21224,3/25/1973,557-49-4992,chris@gmail.com,6054142147,54992
Shenika,Seewald,4 Otis St,,Van Nuys,CA,91405,11/29/1971,704-75-2483,shenika@gmail.com,2159348655,17504
Green,Ruth,128 Connecticut Ave Nw,,Columbus,OH,44023,5/3/1956,369-95-7222,ruth759@cox.net,3104985651,37222
Delmy,Ahle,65895 S 16th St,,Providence,RI,2909,2/1/1987,694-83-9579,delmy.ahle@hotmail.com,8184234007,33653
Deeanna,Juhas,14302 Pennsylvania Ave,,Huntingdon Valley,PA,19006,6/7/1992,879-39-2882,deeanna_juhas@gmail.com,4014582547,37500
Blondell,Pugh,201 Hawk Ct,,Providence,RI,2904,12/27/1958,820-76-3572,bpugh@aol.com,2152119589,30808
Jamal,Vanausdal,53075 Sw 152nd Ter,#615,Monroe Township,NJ,8831,11/11/1946,861-03-8266,jamal@vanausdal.org,4019608259,37096
Cecily,Hollack,59 N Groesbeck Hwy,,Austin,TX,78731,11/7/1944,506-77-1828,cecily@hollack.org,7322341546,27694
Carmelina,Lindall,2664 Lewis Rd,,Littleton,CO,80126,7/17/1986,938-91-5916,carmelina_lindall@lindall.com,5124863817,32407
Maurine,Yglesias,59 Shady Ln,#53,Milwaukee,WI,53214,9/17/1956,673-41-9947,maurine_yglesias@yglesias.com,3037247371,18230
Tawna,Buvens,3305 Nabell Ave,#679,New York,NY,10009,9/13/1947,236-64-4160,tawna@gmail.com,4147481374,29833
Penney,Weight,18 Fountain St,,Anchorage,AK,99515,8/26/1981,338-99-9898,penney_weight@aol.com,2126749610,21566
Elly,Morocco,7 W 32nd St,,Erie,PA,16502,9/4/1958,839-94-7882,elly_morocco@gmail.com,9077979628,28388
Ilene,Eroman,2853 S Central Expy,,Glen Burnie,MD,21061,1/24/1974,409-19-2830,ilene.eroman@hotmail.com,8143935571,23800
Vallie,Mondella,74 W College St,,Boise,ID,83707,5/9/1948,620-25-4907,vmondella@mondella.com,4109149018,27143
Kallie,Blackwood,701 S Harrison Rd,,San Francisco,CA,94104,4/16/1970,700-68-2667,kallie.blackwood@gmail.com,2088625339,19990
Johnetta,Abdallah,1088 Pinehurst St,,Chapel Hill,NC,27514,6/6/1982,445-46-4905,johnetta_abdallah@aol.com,4153152761,22969
Bobbye,Rhym,30 W 80th St,#1995,San Carlos,CA,94070,6/4/1989,802-79-3430,brhym@rhym.com,9192259345,23991
Micaela,Rhymes,20932 Hedley St,,Concord,CA,94520,10/4/1978,368-34-6459,micaela_rhymes@gmail.com,6505285783,17178
Tamar,Hoogland,2737 Pistorio Rd ,#9230,London,OH,43140,8/18/1969,771-92-2761,tamar@hotmail.com,9256473298,36403
Moon,Parlato,74989 Brandon St,,Wellsville,NY,14895,2/12/1973,305-56-6141,moon@yahoo.com,7403438575,21248
Smith,Michael,4306 Yoakum Blvd,,Houston,TX,77006,7/29/1965,108-60-1119,msmith111@gmail.com,7134921111,11111
Laurel,Reitler,6 Kains Ave,,Baltimore,MD,21215,8/23/1994,484-89-6813,laurel_reitler@reitler.com,5858668313,24493
Delisa,Crupi,47565 W Grand Ave,,Newark,NJ,7105,4/17/1954,810-62-3331,delisa.crupi@crupi.com,4105204832,28078
Viva,Toelkes,4284 Dorigo Ln,,Chicago,IL,60647,2/15/1973,202-60-6544,viva.toelkes@gmail.com,9733542040,28440
Elza,Lipke,6794 Lake Dr E,,Newark,NJ,7104,7/20/1955,943-94-1781,elza@yahoo.com,7734465569,21152
Devorah,Chickering,31 Douglas Blvd,#950,Clovis,NM,88101,6/3/1963,668-83-1637,devorah@hotmail.com,9739273447,27348
Timothy,Mulqueen,44 W 4th St,,Staten Island,NY,10309,10/7/1942,895-27-9722,timothy_mulqueen@mulqueen.org,5059758559,33788
Arlette,Honeywell,11279 Loytan St,,Jacksonville,FL,32254,12/17/1986,349-88-8033,ahoneywell@honeywell.com,7183326527,39236
Dominque,Dickerson,69 Marquette Ave,,Hayward,CA,94545,12/16/1943,541-64-9094,dominque.dickerson@dickerson.org,9047754480,15451
Lettie,Isenhower,70 W Main St,,Beachwood,OH,44122,5/3/1980,475-16-9431,lettie_isenhower@yahoo.com,5109933758,31481
Myra,Munns,461 Prospect Pl,#316,Euless,TX,76040,1/14/1977,246-73-6741,mmunns@cox.net,2166577668,32489
Stephaine,Barfield,47154 Whipple Ave Nw,,Gardena,CA,90247,6/3/1958,321-52-1088,stephaine@barfield.com,8179147518,32130
Lai,Gato,37 Alabama Ave,,Evanston,IL,60201,4/5/1939,719-07-5341,lai.gato@gato.org,3107747643,22367
Stephen,Emigh,3777 E Richmond St,#900,Akron,OH,44302,10/11/1949,665-64-6569,stephen_emigh@hotmail.com,8477287286,28042
Tyra,Shields,3 Fort Worth Ave,,Philadelphia,PA,19106,10/21/1944,372-84-7538,tshields@gmail.com,3305375358,21455
Tammara,Wardrip,4800 Black Horse Pike,,Burlingame,CA,94010,3/23/1948,239-44-7066,twardrip@cox.net,2152551641,19939
Cory,Gibes,83649 W Belmont Ave,,San Gabriel,CA,91776,3/2/1985,743-77-5189,cory.gibes@gmail.com,6508031936,17538
Danica,Bruschke,840 15th Ave,,Waco,TX,76708,9/3/1949,406-49-9428,danica_bruschke@gmail.com,6265721096,14739
Wilda,Giguere,1747 Calle Amanecer,#2,Anchorage,AK,99501,4/3/1993,318-78-4058,wilda@cox.net,2547828569,15041
Doe,Jane,5905 Broadway St,,New York,NY,10463,1/2/1982,133-63-3339,jdoe333@gmail.com,7134913333,33333
Elvera,Benimadho,99385 Charity St,#840,San Jose,CA,95110,12/31/1975,841-49-4823,elvera.benimadho@cox.net,9078705536,23697
Carma,Vanheusen,68556 Central Hwy,,San Leandro,CA,94577,8/16/1950,656-99-3419,carma@cox.net,4087038505,17777
Malinda,Hochard,55 Riverside Ave,,Indianapolis,IN,46202,8/29/1947,899-90-9751,malinda.hochard@yahoo.com,5105037169,29437
Natalie,Fern,7140 University Ave,,Rock Springs,WY,82901,6/9/1955,785-44-6111,natalie.fern@hotmail.com,3177225066,24124
Lisha,Centini,64 5th Ave,#1153,Mc Lean,VA,22102,4/12/1948,538-75-7288,lisha@centini.org,3077048713,24732
Arlene,Klusman,3 Secor Rd,,New Orleans,LA,70112,12/15/1944,726-39-2318,arlene_klusman@gmail.com,7032353937,32764
Wilson,May,7132 Jerrold Ave,,Kulpsville,PA,19443,1/22/1947,836-42-4999,may_wilson@yahoo.com,4106558723,54999
Abel,Monica,13727 St  Rt 17m M,,Middle Island,NY,11953,12/12/1965,282-99-2555,mabel99@gmail.com,2158741229,33555
Alease,Buemi,4 Webbs Chapel Rd,,Boulder,CO,80303,6/1/1990,335-82-1590,alease@buemi.com,5047105840,19820
Louisa,Cronauer,524 Louisiana Ave Nw,,San Leandro,CA,94577,4/19/1951,396-91-3422,louisa@cronauer.com,3033014946,30885
Angella,Cetta,185 Blackstone Bldge,,Honolulu,HI,96817,5/25/1969,914-77-5912,angella.cetta@hotmail.com,5108287047,14889
Cyndy,Goldammer,170 Wyoming Ave,,Burnsville,MN,55337,6/18/1987,484-79-7413,cgoldammer@cox.net,8088927943,17032
Rosio,Cork,4 10th St W,,High Point,NC,27263,9/27/1968,799-36-8050,rosio.cork@gmail.com,9523349408,31815
Celeste,Korando,7 W Pinhook Rd,,Lynbrook,NY,11563,10/11/1943,805-82-1942,ckorando@hotmail.com,3362435659,21410
Twana,Felger,1 Commerce Way,,Portland,OR,97224,4/21/1954,435-23-6883,twana.felger@felger.org,5165092347,27486
Estrella,Samu,64 Lakeview Ave,,Beloit,WI,53511,7/28/1992,836-97-8566,estrella@aol.com,5039393153,14328
Donte,Kines,3 Aspen St,,Worcester,MA,1602,8/4/1970,686-36-8791,dkines@hotmail.com,6089767199,21795
Tiffiny,Steffensmeier,32860 Sierra Rd,,Miami,FL,33133,4/7/1995,379-33-2544,tiffiny_steffensmeier@cox.net,5084298576,24379
Edna,Miceli,555 Main St,,Erie,PA,16502,1/17/1945,201-67-5659,emiceli@miceli.org,3053859695,29455
Sue,Kownacki,2 Se 3rd Ave,,Mesquite,TX,75149,5/20/1992,918-28-4777,sue@aol.com,8144602655,31844
Jesusa,Shin,2239 Shawnee Mission Pky,,Tullahoma,TN,37388,12/15/1989,494-16-3129,jshin@shin.com,9726663413,15883
Rolland,Francescon,2726 Charcot Ave,,Paterson,NJ,7501,9/15/1958,609-51-4228,rolland@cox.net,9312738709,32240
Pamella,Schmierer,5161 Dorsett Rd,,Homestead,FL,33030,5/30/1971,443-44-9995,pamella.schmierer@schmierer.org,9736492922,25368
Glory,Kulzer,55892 Jacksonville Rd,,Owings Mills,MD,21117,2/23/1977,252-73-5298,gkulzer@kulzer.org,3054208970,19517
Shawna,Palaspas,5 N Cleveland Massillon Rd,,Thousand Oaks,CA,91362,6/22/1961,657-28-4128,shawna_palaspas@palaspas.org,4102249462,14558
Brandon,Callaro,7 Benton Dr,,Honolulu,HI,96819,5/1/1965,750-37-1076,brandon_callaro@hotmail.com,8052753566,31957
Scarlet,Cartan,9390 S Howell Ave,,Albany,GA,31701,1/22/1963,813-24-3598,scarlet.cartan@yahoo.com,8082156832,26263
Oretha,Menter,8 County Center Dr, #647,Boston,MA,2210,11/2/1948,966-27-9200,oretha_menter@yahoo.com,2297353378,34729
Ty,Smith,4646 Kaahumanu St,,Hackensack,NJ,7601,2/3/1974,748-18-6394,tsmith@aol.com,6174185043,37639
Xuan,Rochin,2 Monroe St,,San Mateo,CA,94403,2/14/1987,704-48-4700,xuan@gmail.com,2016721553,39330
Lindsey,Dilello,52777 Leaders Heights Rd,,Ontario,CA,91761,3/29/1995,387-05-9052,lindsey.dilello@hotmail.com,6509335072,19862
Devora,Perez,72868 Blackington Ave,,Oakland,CA,94606,1/15/1992,884-06-8032,devora_perez@perez.org,9096399887,32307
Herman,Demesa,9 Norristown Rd,,Troy,NY,12180,7/31/1960,833-83-4886,hdemesa@cox.net,5109553016,36836
Rory,Papasergi,83 County Road 437 ,#8581,Clarks Summit,PA,18411,3/15/1950,670-88-3233,rpapasergi@cox.net,5184972940,20598
Talia,Riopelle,1 N Harlem Ave,#9,Orange,NJ,7050,8/13/1968,861-01-3917,talia_riopelle@aol.com,5708677489,22239
Van,Shire,90131 J St,,Pittstown,NJ,8867,8/10/1955,974-79-4897,van.shire@shire.com,9732452133,21777
Lucina,Lary,8597 W National Ave,,Cocoa,FL,32922,3/25/1970,295-44-4351,lucina_lary@cox.net,9084092890,26955
Bok,Isaacs,6 Gilson St,,Bronx,NY,10468,10/1/1970,335-29-2756,bok.isaacs@aol.com,3217494981,19444
Rolande,Spickerman,65 W Maple Ave,,Pearl City,HI,96782,9/8/1965,974-06-4560,rolande.spickerman@spickerman.com,7188093762,30340
Howard,Paulas,866 34th Ave,,Denver,CO,80231,1/10/1940,625-39-3954,hpaulas@gmail.com,8083153077,24616
Kimbery,Madarang,798 Lund Farm Way,,Rockaway,NJ,7866,6/9/1976,468-40-1341,kimbery_madarang@cox.net,3036234241,30772
Thurman,Manno,9387 Charcot Ave,,Absecon,NJ,8201,9/1/1953,777-54-5408,thurman.manno@yahoo.com,9733101634,20011
Becky,Mirafuentes,30553 Washington Rd,,Plainfield,NJ,7062,2/18/1986,933-95-7101,becky.mirafuentes@mirafuentes.com,6095243586,13626
Beatriz,Corrington,481 W Lemon St,,Middleboro,MA,2346,8/30/1952,869-73-1483,beatriz@yahoo.com,9088778409,22782
Marti,Maybury,4 Warehouse Point Rd,#7,Chicago,IL,60638,3/22/1955,990-69-7499,marti.maybury@yahoo.com,5085844279,19505
Nieves,Gotter,4940 Pulaski Park Dr,,Portland,OR,97202,12/6/1952,652-19-4829,nieves_gotter@gmail.com,7737754522,13986
Leatha,Hagele,627 Walford Ave,,Dallas,TX,75227,4/28/1939,622-16-2635,lhagele@cox.net,5035275274,36827
Valentin,Klimek,137 Pioneer Way,,Chicago,IL,60604,7/2/1964,624-48-5014,vklimek@klimek.org,2143391809,16392
Melissa,Wiklund,61 13 Stoneridge,#835,Findlay,OH,45840,11/2/1940,859-36-7982,melissa@cox.net,3123035453,38256
Sheridan,Zane,2409 Alabama Rd,,Riverside,CA,92501,12/24/1955,217-14-7775,sheridan.zane@zane.com,4199393613,37616
Bulah,Padilla,8927 Vandever Ave,,Waco,TX,76707,6/5/1952,863-85-5959,bulah_padilla@hotmail.com,9516453605,30942
Audra,Kohnert,134 Lewis Rd,,Nashville,TN,37211,6/3/1976,568-58-1173,audra@kohnert.com,2544634368,18067
Daren,Weirather,9 N College Ave,#3,Milwaukee,WI,53216,4/3/1965,704-56-9185,dweirather@aol.com,6154067854,23427
Fernanda,Jillson,60480 Old Us Highway 51,,Preston,MD,21655,6/29/1990,292-17-7679,fjillson@aol.com,4149592540,20717
Gearldine,Gellinger,4 Bloomfield Ave,,Irving,TX,75061,10/17/1939,997-55-7393,gearldine_gellinger@gellinger.com,4103875260,25471
Chau,Kitzman,429 Tiger Ln,,Beverly Hills,CA,90212,7/26/1989,492-15-1843,chau@gmail.com,9729346914,39184
Doe,John,1053 Hi Point St,,Los Angeles,CA,90035,3/3/1979,122-62-2229,jdoe222@gmail.com,7134912222,22222
Theola,Frey,54169 N Main St,,Massapequa,NY,11758,6/7/1967,277-80-2793,theola_frey@frey.com,3105608022,36086
Cheryl,Haroldson,92 Main St,,Atlantic City,NJ,8401,1/4/1951,715-53-3475,cheryl@haroldson.org,5169485768,20908
Laticia,Merced,72 Mannix Dr,,Cincinnati,OH,45203,7/15/1954,643-93-7552,lmerced@gmail.com,6095187697,26669
Carissa,Batman,12270 Caton Center Dr,,Eugene,OR,97401,2/16/1977,276-90-6166,carissa.batman@yahoo.com,5135087371,26208
Lezlie,Craghead,749 W 18th St,#45,Smithfield,NC,27577,8/19/1976,421-15-6096,lezlie.craghead@craghead.org,5413264074,14405
Ozell,Shealy,8 Industry Ln,,New York,NY,10002,10/14/1977,229-42-9426,oshealy@hotmail.com,9195333762,16841
Arminda,Parvis,1 Huntwood Ave,,Phoenix,AZ,85017,11/17/1975,568-45-7893,arminda@parvis.com,2123328435,28382
Reita,Leto,55262 N French Rd,,Indianapolis,IN,46240,12/13/1988,557-73-6098,reita.leto@gmail.com,6029069419,13868
Yolando,Luczki,422 E 21st St,,Syracuse,NY,13214,1/22/1993,521-52-1366,yolando@cox.net,3172341135,26995
Lizette,Stem,501 N 19th Ave,,Cherry Hill,NJ,8002,10/7/1951,214-91-5566,lizette.stem@aol.com,3153044759,33452
Gregoria,Pawlowicz,455 N Main Ave,,Garden City,NY,11530,6/27/1966,637-26-5571,gpawlowicz@yahoo.com,8564875412,16068
Carin,Deleo,1844 Southern Blvd,,Little Rock,AR,72202,8/7/1963,688-43-5741,cdeleo@deleo.com,5162121915,17478
Chantell,Maynerich,2023 Greg St,,Saint Paul,MN,55101,6/29/1995,261-88-8538,chantell@yahoo.com,5013081040,20253
Dierdre,Yum,63381 Jenks Ave,,Philadelphia,PA,19134,6/2/1989,952-49-6267,dyum@yahoo.com,6515912583,25087
Larae,Gudroe,6651 Municipal Rd,,Houma,LA,70360,10/1/1961,878-15-1123,larae_gudroe@gmail.com,2153253042,29075
Latrice,Tolfree,81 Norris Ave,#525,Ronkonkoma,NY,11779,2/18/1994,637-05-7034,latrice.tolfree@hotmail.com,9858907262,31010
Kerry,Theodorov,6916 W Main St,,Sacramento,CA,95827,9/21/1979,613-88-4366,kerry.theodorov@gmail.com,6319577624,38915
Dorthy,Hidvegi,9635 S Main St,,Boise,ID,83704,9/25/1949,375-84-4942,dhidvegi@yahoo.com,9165913277,14215
Fannie,Lungren,17 Us Highway 111,,Round Rock,TX,78664,5/25/1975,759-82-7734,fannie.lungren@yahoo.com,2086492373,32977
Evangelina,Radde,992 Civic Center Dr,,Philadelphia,PA,19123,10/6/1996,323-93-9629,evangelina@aol.com,5125875746,23202
Novella,Degroot,303 N Radcliffe St,,Hilo,HI,96720,9/25/1989,726-07-8083,novella_degroot@degroot.org,2159643284,26045
Clay,Hoa,73 Saint Ann St,#86,Reno,NV,89502,4/13/1977,948-54-3033,choa@hoa.org,8084774775,35934
Jennifer,Fallick,44 58th St,,Wheeling,IL,60090,3/23/1967,560-94-2916,jfallick@yahoo.com,7755018109,31092
Irma,Wolfgramm,9745 W Main St,,Randolph,NJ,7869,10/21/1991,637-83-3065,irma.wolfgramm@hotmail.com,8479799545,13907
Eun,Coody,84 Bloomfield Ave,,Spartanburg,SC,29301,11/14/1989,412-52-2233,eun@yahoo.com,9735457355,38303
Sylvia,Cousey,287 Youngstown Warren Rd,,Hampstead,MD,21074,11/23/1945,384-25-9142,sylvia_cousey@cousey.org,8642563620,26238
Nana,Wrinkles,6 Van Buren St,,Mount Vernon,NY,10553,9/17/1995,669-72-7713,nana@aol.com,4102099545,32779
Layla,Springe,229 N Forty Driv,,New York,NY,10011,2/26/1950,236-12-1563,layla.springe@cox.net,9148552115,19855
Joesph,Degonia,2887 Knowlton St,#5435,Berkeley,CA,94710,1/5/1991,824-68-1427,joesph_degonia@degonia.org,2122603151,34882
Annabelle,Boord,523 Marquette Ave,,Concord,MA,1742,9/19/1977,245-76-3666,annabelle.boord@cox.net,5106779785,33168
Stephaine,Vinning,3717 Hamann Industrial Pky,,San Francisco,CA,94104,4/20/1972,451-69-7394,stephaine@cox.net,9786976263,25634
Nelida,Sawchuk,3 State Route 35 S,,Paramus,NJ,7652,1/3/1950,878-30-4646,nelida@gmail.com,4157676596,28064
Marguerita,Hiatt,82 N Highway 67,,Oakley,CA,94561,7/23/1950,760-82-4747,marguerita.hiatt@gmail.com,2019711638,17593
Carmela,Cookey,9 Murfreesboro Rd,,Chicago,IL,60623,8/21/1970,874-38-6574,ccookey@cookey.org,9256347158,21994
Junita,Brideau,6 S Broadway St,,Cedar Grove,NJ,7009,2/27/1942,658-23-9212,jbrideau@aol.com,7734944195,30796
Claribel,Varriano,6 Harry L Dr,#6327,Perrysburg,OH,43551,11/24/1958,337-41-6133,claribel_varriano@cox.net,9739433423,23312
Benton,Skursky,47939 Porter Ave,,Gardena,CA,90248,6/26/1975,289-76-4017,benton.skursky@aol.com,4195444900,35903
Hillary,Skulski,9 Wales Rd Ne,#914,Homosassa,FL,34448,12/4/1984,418-85-4593,hillary.skulski@aol.com,3105792907,29162
Merilyn,Bayless,195 13n N,,Santa Clara,CA,95054,4/26/1943,919-99-7195,merilyn_bayless@cox.net,3522422570,16090
Teri,Ennaco,99 Tank Farm Rd,,Hazleton,PA,18201,10/11/1990,391-34-8484,tennaco@gmail.com,4087585015,29402
